19,1
609,11
18879,31
19228,2
253,12
7855,1
5189,1
11919,1
12024,1
15252,1
25948,1
49,21
1538,71
17907,61
18888,1
19513,1
9097,1
13888,1
13454,1
13,1
418,11
12959,11
14460,1
1404,1
13738,11
8818,61
5248,11
13753,1
9269,1
19225,11
173,1
5377,1
17741,1
13747,1
9088,21
13629,1
5425,11
7857,30
5262,20
14176,10
22396,10
9095,10
13846,10
12152,10
156,10
4845,10
1254,10
9103,10
14079,10
19393,20
5363,20
17311,10
12972,10
14854,10
13624,20
5270,20
14431,10
501,10
15549,10
5369,10
17489,10
5924,10
4918,10
3503,10
19229,30
279,50
8660,10
355,10
11020,10
13942,10
15128,10
22112,20
8672,10
722,20
22394,10
9033,10
11904,10
11546,10
449,20
13939,10
15035,10
19232,10
377,10
11688,10
4858,10
1648,10
21297,10
4806,20
45,20
1399,10
13578,10
3853,10
8668,10
594,10
18419,10
4960,10
4825,10
628,30
19469,30
7739,20
1581,20
8669,20
621,20
19259,10
1228,10
8282,10
18432,20
5372,10
17591,20
9083,50
13474,20
625,20
19375,10
4813,10
5259,20
14074,20
19240,10
7733,10
1408,10
13862,10
12666,10
5382,20
18884,20
19384,20
5098,50
19256,10
1125,10
13473,10
13459,10
164,10
13469,10
466,10
14464,30
17887,20
18288,10
899,10
27889,10
17896,20
18538,10
8679,10
930,20
28839,20
293,10
14430,10
465,10
14445,10
299,50
9277,40
19476,10
7945,10
7972,10
14167,10
19473,20
5257,40
14031,10
18552,10
9104,10
14110,10
20341,10
4980,10
19238,10
566,10
17555,10
7981,10
13609,10
1528,10
9098,10
13938,10
15004,10
18268,10
9274,10
19389,10
14012,30
17307,20
7843,20
4823,10
567,10
17590,10
9057,10
12662,10
19243,10
22402,10
19489,10
8358,10
20775,10
9283,10
19659,10
13630,10
5468,10
20567,10
11966,10
13455,10
19234,30
13928,10
14695,10
8698,10
439,30
13618,40
5099,20
9115,20
18894,20
19694,20
14699,30
5240,20
13503,20
18274,10
474,10
5239,10
13471,10
533,10
16535,10
6154,10
12045,10
15926,10
17050,10
22128,10
796,20
24688,20
20555,20
11594,20
1934,10
393,10
12183,10
20206,10
1931,10
307,10
9544,10
27753,10
26219,10
8454,10
23746,10
21153,10
341,10
10576,10
169,10
13748,10
9114,10
14442,10
866,10
26865,10
28472,10
18698,10
5103,10
9243,10
18442,10
5673,10
26909,10
1400,10
5084,10
8663,10
443,10
13741,10
8902,10
4833,10
897,10
27820,10
28277,10
12657,10
9092,10
17312,20
447,10
13872,10
14454,10
1214,10
7852,10
5089,10
13628,10
5415,10
18924,10
20623,9
13707,9
